_latitude,_location,_location_address,_location_city,_location_state,_location_zip,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,record_id,state_code,suppression_used,total_amount_reimbursed,units_reimbursed
43.3504,POINT (-84.5603 43.3504),,,,,-84.5603,7/1,2015-07-01T00:00:00.000,12496,,12496120201,,,01,2015,1202,SUBOXONE,3,FFSU,MI,true,,
27.8333,POINT (-81.717 27.8333),,,,,-81.717,7/1,2015-07-01T00:00:00.000,00054,,00054355563,,,63,2015,3555,METHADONE,3,FFSU,FL,true,,
41.6772,POINT (-71.5101 41.6772),,,,,-71.5101,10/1,2015-10-01T00:00:00.000,00054,,00054457125,,,25,2015,4571,METHADONE,4,FFSU,RI,true,,
43.3504,POINT (-84.5603 43.3504),,,,,-84.5603,10/1,2015-10-01T00:00:00.000,00054,,00054355344,,,44,2015,3553,METHADONE,4,FFSU,MI,true,,
43.4108,POINT (-71.5653 43.4108),,,,,-71.5653,10/1,2015-10-01T00:00:00.000,59385,,59385001430,,,30,2015,0014,BUNAVAIL,4,FFSU,NH,true,,
42.2373,POINT (-71.5314 42.2373),,,,,-71.5314,10/1,2015-10-01T00:00:00.000,66689,,66689071216,,,16,2015,0712,METHADONE,4,MCOU,MA,true,,
40.3363,POINT (-89.0022 40.3363),,,,,-89.0022,7/1,2015-07-01T00:00:00.000,66689,,66689071116,,,16,2015,0711,Methadone,3,FFSU,IL,true,,
40.3736,POINT (-82.7755 40.3736),,,,,-82.7755,1/1,2015-01-01T00:00:00.000,00054,1580.8,00054457125,0,125,25,2015,4571,METHADONE,1,FFSU,OH,false,1580.8,10789
44.2394,POINT (-114.5103 44.2394),,,,,-114.5103,10/1,2015-10-01T00:00:00.000,00054,1231.7,00054457025,0,56,25,2015,4570,METHADONE,4,FFSU,ID,false,1231.7,3869
37.768,POINT (-78.2057 37.768),,,,,-78.2057,7/1,2015-07-01T00:00:00.000,00054,,00054039268,,,68,2015,0392,Methadone,3,MCOU,VA,true,,
