period_covered,record_id,number_of_prescriptions,total_amount_reimbursed
2014,MCOU,258,4427.41
2014,MCOU,2599,1029638.29
2014,MCOU,26144,561773
2014,MCOU,266,5952.64
2014,MCOU,268,4219.63
2014,MCOU,2769,835548.19
2014,MCOU,2801,49208.96
2014,MCOU,284,1839.14
2014,MCOU,2864,49046
2014,MCOU,29373,442205.93
2014,MCOU,3094,52507.05
2014,MCOU,3128,61667.7
2014,MCOU,325,2919.27
2014,MCOU,327,2389.17
2014,MCOU,328,5189.64
2014,MCOU,33161,493969.96
2014,MCOU,35,406.15
2014,MCOU,36,364.67
2014,MCOU,3645,63764.64
2014,MCOU,3662,65385.18
2014,MCOU,37,303.23
2014,MCOU,37,316.53
2014,MCOU,3769,108167.11
2014,MCOU,37722,543461.56
2014,MCOU,3800,124656.73
2014,MCOU,391,2713.43
2014,MCOU,395,8247.01
2014,MCOU,437,4788.32
2014,MCOU,4372,26816.84
2014,MCOU,44,240.41
2014,MCOU,44229,910241.74
2014,MCOU,46,1201.76
2014,MCOU,463,3610.76
2014,MCOU,4711,29237.43
2014,MCOU,4722,46577.76
2014,MCOU,475,4525.57
2014,MCOU,49,1367.77
2014,MCOU,490,2360.46
2014,MCOU,496,7567.87
2014,MCOU,5127,73754.78
2014,MCOU,5199,77738.32
2014,MCOU,52,240.11
2014,MCOU,522,3092.6
2014,MCOU,5251,33576.2
2014,MCOU,53,134.71
2014,MCOU,53,22469.55
2014,MCOU,530,3256.25
2014,MCOU,533,2628.38
2014,MCOU,536,2811.12
2014,MCOU,541,103633.27
2014,MCOU,5419,32642.81
2014,MCOU,543,11323.47
2014,MCOU,548,12280.74
2014,MCOU,557,12134.06
2014,MCOU,56,1183.6
2014,MCOU,57,1415.2
2014,MCOU,579,8281.78
2014,MCOU,583,6735.08
2014,MCOU,5924,34429.19
2014,MCOU,62,5222.47
2014,MCOU,63,1063.35
2014,MCOU,636,7514.32
2014,MCOU,661,11177.79
2014,MCOU,6838,91659.6
2014,MCOU,6959,62941.12
2014,MCOU,696,15751.18
2014,MCOU,696,8523.92
2014,MCOU,70,185.46
2014,MCOU,70,406.32
2014,MCOU,712,10588.21
2014,MCOU,715,7521.33
2014,MCOU,72,1086.37
2014,MCOU,724,11616.07
2014,MCOU,732,11255.57
2014,MCOU,7803,110323.78
2014,MCOU,79,2356.88
2014,MCOU,802,14816.96
2014,MCOU,803,10791.78
2014,MCOU,81,1835.4
2014,MCOU,845,16336.55
2014,MCOU,865,13119.97
2014,MCOU,88,913.19
2014,MCOU,90,7456.48
2014,MCOU,9212,127407.39
2014,MCOU,93,547.14
2014,MCOU,937,15684.67
2014,MCOU,96,28317.7
2014,MCOU,977,15188.47
2014,MCOU,98,583.04
